code_scheme,area_code,area_level,area_name,parent_scheme,parent_code,census_2011_code,snapshot_date,source_url,latitude,longitude,point_method,bbox_west,bbox_south,bbox_east,bbox_north,geometry_source,boundary_vintage
IN-PIN,134109,PostalCode,Panchkula,LGD,70,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.686460,76.977506,inherited:District,76.776087,30.470557,77.176996,30.928543,SOI_Districts,2023-12-11
IN-PIN,134117,PostalCode,Panchkula,LGD,70,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.686460,76.977506,inherited:District,76.776087,30.470557,77.176996,30.928543,SOI_Districts,2023-12-11
IN-PIN,134118,PostalCode,Panchkula,LGD,70,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.686460,76.977506,inherited:District,76.776087,30.470557,77.176996,30.928543,SOI_Districts,2023-12-11
IN-PIN,134201,PostalCode,Panchkula,LGD,70,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.686460,76.977506,inherited:District,76.776087,30.470557,77.176996,30.928543,SOI_Districts,2023-12-11
IN-PIN,134202,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
IN-PIN,134203,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
IN-PIN,134204,PostalCode,Panchkula,LGD,70,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.686460,76.977506,inherited:District,76.776087,30.470557,77.176996,30.928543,SOI_Districts,2023-12-11
IN-PIN,134205,PostalCode,Panchkula,LGD,70,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.686460,76.977506,inherited:District,76.776087,30.470557,77.176996,30.928543,SOI_Districts,2023-12-11
IN-PIN,135001,PostalCode,Yamunanagar,LGD,76,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.234263,77.302286,inherited:District,77.065272,29.935064,77.604591,30.496831,SOI_Districts,2023-12-11
IN-PIN,135002,PostalCode,Yamunanagar,LGD,76,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.234263,77.302286,inherited:District,77.065272,29.935064,77.604591,30.496831,SOI_Districts,2023-12-11
IN-PIN,135003,PostalCode,Yamunanagar,LGD,76,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.234263,77.302286,inherited:District,77.065272,29.935064,77.604591,30.496831,SOI_Districts,2023-12-11
IN-PIN,135004,PostalCode,Yamunanagar,LGD,76,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.234263,77.302286,inherited:District,77.065272,29.935064,77.604591,30.496831,SOI_Districts,2023-12-11
IN-PIN,135021,PostalCode,Yamunanagar,LGD,76,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.234263,77.302286,inherited:District,77.065272,29.935064,77.604591,30.496831,SOI_Districts,2023-12-11
IN-PIN,135101,PostalCode,Yamunanagar,LGD,76,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.234263,77.302286,inherited:District,77.065272,29.935064,77.604591,30.496831,SOI_Districts,2023-12-11
IN-PIN,135102,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
IN-PIN,135103,PostalCode,Yamunanagar,LGD,76,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.234263,77.302286,inherited:District,77.065272,29.935064,77.604591,30.496831,SOI_Districts,2023-12-11
IN-PIN,135106,PostalCode,Yamunanagar,LGD,76,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.234263,77.302286,inherited:District,77.065272,29.935064,77.604591,30.496831,SOI_Districts,2023-12-11
IN-PIN,135133,PostalCode,Ambala,LGD,58,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.328333,76.938819,inherited:District,76.543110,30.066239,77.212478,30.562953,SOI_Districts,2023-12-11
IN-PIN,136020,PostalCode,Kaithal,LGD,66,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.811241,76.413852,inherited:District,76.168346,29.514414,76.717004,30.192428,SOI_Districts,2023-12-11
IN-PIN,136021,PostalCode,Kaithal,LGD,66,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.811241,76.413852,inherited:District,76.168346,29.514414,76.717004,30.192428,SOI_Districts,2023-12-11
IN-PIN,136026,PostalCode,Kaithal,LGD,66,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.811241,76.413852,inherited:District,76.168346,29.514414,76.717004,30.192428,SOI_Districts,2023-12-11
IN-PIN,136027,PostalCode,Kaithal,LGD,66,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.811241,76.413852,inherited:District,76.168346,29.514414,76.717004,30.192428,SOI_Districts,2023-12-11
IN-PIN,136030,PostalCode,Kurukshetra,LGD,68,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.038696,76.784940,inherited:District,76.421710,29.866830,77.122779,30.254714,SOI_Districts,2023-12-11
IN-PIN,136033,PostalCode,Kaithal,LGD,66,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.811241,76.413852,inherited:District,76.168346,29.514414,76.717004,30.192428,SOI_Districts,2023-12-11
IN-PIN,136034,PostalCode,Kaithal,LGD,66,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.811241,76.413852,inherited:District,76.168346,29.514414,76.717004,30.192428,SOI_Districts,2023-12-11
IN-PIN,136035,PostalCode,Kaithal,LGD,66,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.811241,76.413852,inherited:District,76.168346,29.514414,76.717004,30.192428,SOI_Districts,2023-12-11
IN-PIN,136038,PostalCode,Kurukshetra,LGD,68,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.038696,76.784940,inherited:District,76.421710,29.866830,77.122779,30.254714,SOI_Districts,2023-12-11
IN-PIN,136042,PostalCode,Kaithal,LGD,66,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.811241,76.413852,inherited:District,76.168346,29.514414,76.717004,30.192428,SOI_Districts,2023-12-11
IN-PIN,136043,PostalCode,Kaithal,LGD,66,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.811241,76.413852,inherited:District,76.168346,29.514414,76.717004,30.192428,SOI_Districts,2023-12-11
IN-PIN,136044,PostalCode,Kaithal,LGD,66,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.811241,76.413852,inherited:District,76.168346,29.514414,76.717004,30.192428,SOI_Districts,2023-12-11
IN-PIN,136117,PostalCode,Kaithal,LGD,66,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,29.811241,76.413852,inherited:District,76.168346,29.514414,76.717004,30.192428,SOI_Districts,2023-12-11
IN-PIN,136118,PostalCode,Kurukshetra,LGD,68,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.038696,76.784940,inherited:District,76.421710,29.866830,77.122779,30.254714,SOI_Districts,2023-12-11
IN-PIN,136119,PostalCode,Kurukshetra,LGD,68,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.038696,76.784940,inherited:District,76.421710,29.866830,77.122779,30.254714,SOI_Districts,2023-12-11
IN-PIN,136128,PostalCode,Kurukshetra,LGD,68,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.038696,76.784940,inherited:District,76.421710,29.866830,77.122779,30.254714,SOI_Districts,2023-12-11
IN-PIN,136129,PostalCode,Kurukshetra,LGD,68,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.038696,76.784940,inherited:District,76.421710,29.866830,77.122779,30.254714,SOI_Districts,2023-12-11
IN-PIN,136130,PostalCode,Kurukshetra,LGD,68,,02Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/pincode_villages.02Sep2026.csv.7z,30.038696,76.784940,inherited:District,76.421710,29.866830,77.122779,30.254714,SOI_Districts,2023-12-11
