code_scheme,area_code,area_level,area_name,parent_scheme,parent_code,parent_level,census_2011_code,snapshot_date,source_url,latitude,longitude,point_method,bbox_west,bbox_south,bbox_east,bbox_north,geometry_source,boundary_vintage,has_polygon,same_as
LGD,24,State,Gujarat,ISO-3166-1,IN,Country,24,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,22.692625,71.595166,centroid,68.177512,20.119229,74.476433,24.712536,SOI_States,2023-12-11,true,
LGD,6,State,Haryana,ISO-3166-1,IN,Country,6,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,29.197675,76.340342,centroid,74.473259,27.652271,77.604591,30.928543,SOI_States,2023-12-11,true,
LGD,2,State,Himachal Pradesh,ISO-3166-1,IN,Country,2,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,31.925300,77.248411,centroid,75.594593,30.377336,79.008917,33.256426,SOI_States,2023-12-11,true,
LGD,1,State,Jammu And Kashmir,ISO-3166-1,IN,Country,1,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,33.675618,74.859285,centroid,73.396060,32.276005,76.779413,35.130068,SOI_States,2023-12-11,true,
LGD,20,State,Jharkhand,ISO-3166-1,IN,Country,20,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,23.656374,85.564266,centroid,83.329346,21.970129,87.962825,25.349181,SOI_States,2023-12-11,true,
LGD,29,State,Karnataka,ISO-3166-1,IN,Country,29,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,14.710573,76.167282,centroid,74.053993,11.594471,78.587702,18.477721,SOI_States,2023-12-11,true,
LGD,32,State,Kerala,ISO-3166-1,IN,Country,32,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,10.452100,76.407182,centroid,74.864337,8.293018,77.412396,12.795535,SOI_States,2023-12-11,true,
LGD,37,State,Ladakh,ISO-3166-1,IN,Country,0,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,34.948731,76.794070,centroid,72.512762,32.335694,80.345084,37.088342,SOI_States,2023-12-11,true,
LGD,31,State,Lakshadweep,ISO-3166-1,IN,Country,31,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,10.812627,73.677058,centroid,72.164028,8.265203,73.700919,11.704976,SOI_States,2023-12-11,true,
LGD,23,State,Madhya Pradesh,ISO-3166-1,IN,Country,23,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,23.538142,78.289776,centroid,74.029382,21.070688,82.812612,26.869562,SOI_States,2023-12-11,true,
LGD,27,State,Maharashtra,ISO-3166-1,IN,Country,27,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,19.451683,76.107454,centroid,72.641991,15.606085,80.897684,22.030269,SOI_States,2023-12-11,true,
LGD,14,State,Manipur,ISO-3166-1,IN,Country,14,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,24.733858,93.878817,centroid,92.969434,23.832848,94.744890,25.692090,SOI_States,2023-12-11,true,
LGD,17,State,Meghalaya,ISO-3166-1,IN,Country,17,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,25.535419,91.278401,centroid,89.819545,25.027795,92.802915,26.119406,SOI_States,2023-12-11,true,
LGD,15,State,Mizoram,ISO-3166-1,IN,Country,15,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,23.306959,92.831811,centroid,92.257065,21.940040,93.436906,24.521150,SOI_States,2023-12-11,true,
LGD,13,State,Nagaland,ISO-3166-1,IN,Country,13,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,26.062153,94.466308,centroid,93.326687,25.198356,95.241350,27.035207,SOI_States,2023-12-11,true,
LGD,21,State,Odisha,ISO-3166-1,IN,Country,21,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,20.511652,84.426842,centroid,81.388378,17.812450,87.486135,22.567507,SOI_States,2023-12-11,true,
LGD,34,State,Puducherry,ISO-3166-1,IN,Country,34,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,10.933465,79.802983,centroid,75.526556,10.827383,82.310616,16.763695,SOI_States,2023-12-11,true,
LGD,3,State,Punjab,ISO-3166-1,IN,Country,3,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,30.842128,75.415888,centroid,73.879776,29.542070,76.941462,32.511563,SOI_States,2023-12-11,true,
LGD,8,State,Rajasthan,ISO-3166-1,IN,Country,8,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,26.584176,73.849855,centroid,69.484426,23.058661,78.272257,30.198148,SOI_States,2023-12-11,true,
LGD,11,State,Sikkim,ISO-3166-1,IN,Country,11,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,27.570188,88.473019,centroid,88.012332,27.079260,88.919260,28.128691,SOI_States,2023-12-11,true,
LGD,33,State,Tamil Nadu,ISO-3166-1,IN,Country,33,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,11.015873,78.407996,centroid,76.232983,8.077704,80.346547,13.564628,SOI_States,2023-12-11,true,
LGD,36,State,Telangana,ISO-3166-1,IN,Country,0,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,17.800653,79.009116,centroid,77.235761,15.836003,81.322641,19.916807,SOI_States,2023-12-11,true,
LGD,38,State,The Dadra And Nagar Haveli And Daman And Diu,ISO-3166-1,IN,Country,0,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,20.191077,73.058434,interior_grid,70.870788,20.047018,73.218192,20.771437,SOI_States,2023-12-11,true,
LGD,16,State,Tripura,ISO-3166-1,IN,Country,16,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,23.745620,91.740747,centroid,91.149198,22.938351,92.332057,24.531867,SOI_States,2023-12-11,true,
LGD,5,State,Uttarakhand,ISO-3166-1,IN,Country,5,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,30.156322,79.207366,centroid,77.572316,28.722831,81.046605,31.462080,SOI_States,2023-12-11,true,
LGD,9,State,Uttar Pradesh,ISO-3166-1,IN,Country,9,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,26.923320,80.565958,centroid,77.083948,23.870110,84.634660,30.406276,SOI_States,2023-12-11,true,
LGD,19,State,West Bengal,ISO-3166-1,IN,Country,19,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/states.03Sep2026.csv.7z,23.808568,87.988173,centroid,85.819673,21.527082,89.882602,27.221067,SOI_States,2023-12-11,true,
ISO-3166-2,IN-AN,State,Andaman And Nicobar Islands,ISO-3166-1,IN,Country,,03Sep2026,static,12.603196,92.829514,centroid,92.195893,6.752783,94.267398,13.677059,SOI_States,2023-12-11,true,LGD/35/State
ISO-3166-2,IN-AP,State,Andhra Pradesh,ISO-3166-1,IN,Country,,03Sep2026,static,15.753511,79.962484,centroid,76.760569,12.624011,84.761464,19.166913,SOI_States,2023-12-11,true,LGD/28/State
ISO-3166-2,IN-AR,State,Arunachal Pradesh,ISO-3166-1,IN,Country,,03Sep2026,static,28.035268,94.673960,centroid,91.553545,26.650823,97.412897,29.465947,SOI_States,2023-12-11,true,LGD/12/State
ISO-3166-2,IN-AS,State,Assam,ISO-3166-1,IN,Country,,03Sep2026,static,26.355278,92.827110,centroid,89.698600,24.136135,96.017876,27.971475,SOI_States,2023-12-11,true,LGD/18/State
ISO-3166-2,IN-BR,State,Bihar,ISO-3166-1,IN,Country,,03Sep2026,static,25.678945,85.609012,centroid,83.320216,24.286006,88.293796,27.521777,SOI_States,2023-12-11,true,LGD/10/State
ISO-3166-2,IN-CG,State,Chhattisgarh,ISO-3166-1,IN,Country,,03Sep2026,static,21.265915,82.041059,centroid,80.244428,17.782307,84.395550,24.106277,SOI_States,2023-12-11,true,LGD/22/State
ISO-3166-2,IN-CH,State,Chandigarh,ISO-3166-1,IN,Country,,03Sep2026,static,30.729350,76.780565,centroid,76.705183,30.666359,76.849445,30.795209,SOI_States,2023-12-11,true,LGD/4/State
ISO-3166-2,IN-DH,State,The Dadra And Nagar Haveli And Daman And Diu,ISO-3166-1,IN,Country,,03Sep2026,static,20.191077,73.058434,interior_grid,70.870788,20.047018,73.218192,20.771437,SOI_States,2023-12-11,true,LGD/38/State
ISO-3166-2,IN-DL,State,Delhi,ISO-3166-1,IN,Country,,03Sep2026,static,28.643370,77.115437,centroid,76.838892,28.404668,77.347571,28.883500,SOI_States,2023-12-11,true,LGD/7/State
ISO-3166-2,IN-GA,State,Goa,ISO-3166-1,IN,Country,,03Sep2026,static,15.365280,74.049474,centroid,73.676952,14.898440,74.336437,15.801017,SOI_States,2023-12-11,true,LGD/30/State
ISO-3166-2,IN-GJ,State,Gujarat,ISO-3166-1,IN,Country,,03Sep2026,static,22.692625,71.595166,centroid,68.177512,20.119229,74.476433,24.712536,SOI_States,2023-12-11,true,LGD/24/State
ISO-3166-2,IN-HP,State,Himachal Pradesh,ISO-3166-1,IN,Country,,03Sep2026,static,31.925300,77.248411,centroid,75.594593,30.377336,79.008917,33.256426,SOI_States,2023-12-11,true,LGD/2/State
ISO-3166-2,IN-HR,State,Haryana,ISO-3166-1,IN,Country,,03Sep2026,static,29.197675,76.340342,centroid,74.473259,27.652271,77.604591,30.928543,SOI_States,2023-12-11,true,LGD/6/State
ISO-3166-2,IN-JH,State,Jharkhand,ISO-3166-1,IN,Country,,03Sep2026,static,23.656374,85.564266,centroid,83.329346,21.970129,87.962825,25.349181,SOI_States,2023-12-11,true,LGD/20/State
ISO-3166-2,IN-JK,State,Jammu And Kashmir,ISO-3166-1,IN,Country,,03Sep2026,static,33.675618,74.859285,centroid,73.396060,32.276005,76.779413,35.130068,SOI_States,2023-12-11,true,LGD/1/State
ISO-3166-2,IN-KA,State,Karnataka,ISO-3166-1,IN,Country,,03Sep2026,static,14.710573,76.167282,centroid,74.053993,11.594471,78.587702,18.477721,SOI_States,2023-12-11,true,LGD/29/State
ISO-3166-2,IN-KL,State,Kerala,ISO-3166-1,IN,Country,,03Sep2026,static,10.452100,76.407182,centroid,74.864337,8.293018,77.412396,12.795535,SOI_States,2023-12-11,true,LGD/32/State
ISO-3166-2,IN-LA,State,Ladakh,ISO-3166-1,IN,Country,,03Sep2026,static,34.948731,76.794070,centroid,72.512762,32.335694,80.345084,37.088342,SOI_States,2023-12-11,true,LGD/37/State
ISO-3166-2,IN-LD,State,Lakshadweep,ISO-3166-1,IN,Country,,03Sep2026,static,10.812627,73.677058,centroid,72.164028,8.265203,73.700919,11.704976,SOI_States,2023-12-11,true,LGD/31/State
ISO-3166-2,IN-MH,State,Maharashtra,ISO-3166-1,IN,Country,,03Sep2026,static,19.451683,76.107454,centroid,72.641991,15.606085,80.897684,22.030269,SOI_States,2023-12-11,true,LGD/27/State
ISO-3166-2,IN-ML,State,Meghalaya,ISO-3166-1,IN,Country,,03Sep2026,static,25.535419,91.278401,centroid,89.819545,25.027795,92.802915,26.119406,SOI_States,2023-12-11,true,LGD/17/State
ISO-3166-2,IN-MN,State,Manipur,ISO-3166-1,IN,Country,,03Sep2026,static,24.733858,93.878817,centroid,92.969434,23.832848,94.744890,25.692090,SOI_States,2023-12-11,true,LGD/14/State
ISO-3166-2,IN-MP,State,Madhya Pradesh,ISO-3166-1,IN,Country,,03Sep2026,static,23.538142,78.289776,centroid,74.029382,21.070688,82.812612,26.869562,SOI_States,2023-12-11,true,LGD/23/State
ISO-3166-2,IN-MZ,State,Mizoram,ISO-3166-1,IN,Country,,03Sep2026,static,23.306959,92.831811,centroid,92.257065,21.940040,93.436906,24.521150,SOI_States,2023-12-11,true,LGD/15/State
ISO-3166-2,IN-NL,State,Nagaland,ISO-3166-1,IN,Country,,03Sep2026,static,26.062153,94.466308,centroid,93.326687,25.198356,95.241350,27.035207,SOI_States,2023-12-11,true,LGD/13/State
ISO-3166-2,IN-OD,State,Odisha,ISO-3166-1,IN,Country,,03Sep2026,static,20.511652,84.426842,centroid,81.388378,17.812450,87.486135,22.567507,SOI_States,2023-12-11,true,LGD/21/State
ISO-3166-2,IN-PB,State,Punjab,ISO-3166-1,IN,Country,,03Sep2026,static,30.842128,75.415888,centroid,73.879776,29.542070,76.941462,32.511563,SOI_States,2023-12-11,true,LGD/3/State
ISO-3166-2,IN-PY,State,Puducherry,ISO-3166-1,IN,Country,,03Sep2026,static,10.933465,79.802983,centroid,75.526556,10.827383,82.310616,16.763695,SOI_States,2023-12-11,true,LGD/34/State
ISO-3166-2,IN-RJ,State,Rajasthan,ISO-3166-1,IN,Country,,03Sep2026,static,26.584176,73.849855,centroid,69.484426,23.058661,78.272257,30.198148,SOI_States,2023-12-11,true,LGD/8/State
ISO-3166-2,IN-SK,State,Sikkim,ISO-3166-1,IN,Country,,03Sep2026,static,27.570188,88.473019,centroid,88.012332,27.079260,88.919260,28.128691,SOI_States,2023-12-11,true,LGD/11/State
ISO-3166-2,IN-TN,State,Tamil Nadu,ISO-3166-1,IN,Country,,03Sep2026,static,11.015873,78.407996,centroid,76.232983,8.077704,80.346547,13.564628,SOI_States,2023-12-11,true,LGD/33/State
ISO-3166-2,IN-TR,State,Tripura,ISO-3166-1,IN,Country,,03Sep2026,static,23.745620,91.740747,centroid,91.149198,22.938351,92.332057,24.531867,SOI_States,2023-12-11,true,LGD/16/State
ISO-3166-2,IN-TS,State,Telangana,ISO-3166-1,IN,Country,,03Sep2026,static,17.800653,79.009116,centroid,77.235761,15.836003,81.322641,19.916807,SOI_States,2023-12-11,true,LGD/36/State
ISO-3166-2,IN-UK,State,Uttarakhand,ISO-3166-1,IN,Country,,03Sep2026,static,30.156322,79.207366,centroid,77.572316,28.722831,81.046605,31.462080,SOI_States,2023-12-11,true,LGD/5/State
ISO-3166-2,IN-UP,State,Uttar Pradesh,ISO-3166-1,IN,Country,,03Sep2026,static,26.923320,80.565958,centroid,77.083948,23.870110,84.634660,30.406276,SOI_States,2023-12-11,true,LGD/9/State
ISO-3166-2,IN-WB,State,West Bengal,ISO-3166-1,IN,Country,,03Sep2026,static,23.808568,87.988173,centroid,85.819673,21.527082,89.882602,27.221067,SOI_States,2023-12-11,true,LGD/19/State
ISO-3166-2,IN-CT,State,Chhattisgarh,ISO-3166-1,IN,Country,,03Sep2026,static,21.265915,82.041059,centroid,80.244428,17.782307,84.395550,24.106277,SOI_States,2023-12-11,true,ISO-3166-2/IN-CG/State
ISO-3166-2,IN-DD,State,The Dadra And Nagar Haveli And Daman And Diu,ISO-3166-1,IN,Country,,03Sep2026,static,20.191077,73.058434,interior_grid,70.870788,20.047018,73.218192,20.771437,SOI_States,2023-12-11,true,ISO-3166-2/IN-DH/State
ISO-3166-2,IN-DN,State,The Dadra And Nagar Haveli And Daman And Diu,ISO-3166-1,IN,Country,,03Sep2026,static,20.191077,73.058434,interior_grid,70.870788,20.047018,73.218192,20.771437,SOI_States,2023-12-11,true,ISO-3166-2/IN-DH/State
ISO-3166-2,IN-OR,State,Odisha,ISO-3166-1,IN,Country,,03Sep2026,static,20.511652,84.426842,centroid,81.388378,17.812450,87.486135,22.567507,SOI_States,2023-12-11,true,ISO-3166-2/IN-OD/State
ISO-3166-2,IN-TG,State,Telangana,ISO-3166-1,IN,Country,,03Sep2026,static,17.800653,79.009116,centroid,77.235761,15.836003,81.322641,19.916807,SOI_States,2023-12-11,true,ISO-3166-2/IN-TS/State
ISO-3166-2,IN-UL,State,Uttarakhand,ISO-3166-1,IN,Country,,03Sep2026,static,30.156322,79.207366,centroid,77.572316,28.722831,81.046605,31.462080,SOI_States,2023-12-11,true,ISO-3166-2/IN-UK/State
ISO-3166-2,IN-UT,State,Uttarakhand,ISO-3166-1,IN,Country,,03Sep2026,static,30.156322,79.207366,centroid,77.572316,28.722831,81.046605,31.462080,SOI_States,2023-12-11,true,ISO-3166-2/IN-UK/State
LGD,603,District,Nicobars,LGD,35,State,638,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,7.024826,93.799023,centroid,92.714313,6.752783,93.950692,9.258922,SOI_Districts,2023-12-11,true,
LGD,632,District,North And Middle Andaman,LGD,35,State,639,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,12.842528,92.870475,centroid,92.646854,12.063223,94.267398,13.677059,SOI_Districts,2023-12-11,true,
LGD,602,District,South Andamans,LGD,35,State,640,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,11.523693,92.648491,centroid,92.195893,10.510807,93.124953,12.319652,SOI_Districts,2023-12-11,true,
LGD,745,District,Alluri Sitharama Raju,LGD,28,State,0,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,15.753511,79.962484,inherited:State,76.760569,12.624011,84.761464,19.166913,SOI_States,2023-12-11,false,
LGD,744,District,Anakapalli,LGD,28,State,0,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,15.753511,79.962484,inherited:State,76.760569,12.624011,84.761464,19.166913,SOI_States,2023-12-11,false,
LGD,502,District,Ananthapuramu,LGD,28,State,553,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,14.493043,77.566974,centroid,76.760569,13.682262,78.469262,15.426435,SOI_Districts,2023-12-11,true,
LGD,753,District,Annamayya,LGD,28,State,0,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,15.753511,79.962484,inherited:State,76.760569,12.624011,84.761464,19.166913,SOI_States,2023-12-11,false,
LGD,750,District,Bapatla,LGD,28,State,0,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,15.753511,79.962484,inherited:State,76.760569,12.624011,84.761464,19.166913,SOI_States,2023-12-11,false,
LGD,503,District,Chittoor,LGD,28,State,554,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,13.464938,79.005997,centroid,78.065717,12.624011,80.051196,13.994762,SOI_Districts,2023-12-11,true,
LGD,747,District,Dr. B.R. Ambedkar Konaseema,LGD,28,State,0,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,15.753511,79.962484,inherited:State,76.760569,12.624011,84.761464,19.166913,SOI_States,2023-12-11,false,
LGD,505,District,East Godavari,LGD,28,State,545,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,17.272008,81.893276,centroid,80.876066,16.306551,82.604579,18.014435,SOI_Districts,2023-12-11,true,
LGD,748,District,Eluru,LGD,28,State,0,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,15.753511,79.962484,inherited:State,76.760569,12.624011,84.761464,19.166913,SOI_States,2023-12-11,false,
LGD,506,District,Guntur,LGD,28,State,548,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,16.293106,80.078833,centroid,79.207723,15.706538,80.903238,16.822312,SOI_Districts,2023-12-11,true,
LGD,746,District,Kakinada,LGD,28,State,0,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,15.753511,79.962484,inherited:State,76.760569,12.624011,84.761464,19.166913,SOI_States,2023-12-11,false,
LGD,510,District,Krishna,LGD,28,State,547,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,16.555707,80.797994,centroid,79.998762,15.705221,81.554631,17.153072,SOI_Districts,2023-12-11,true,
LGD,511,District,Kurnool,LGD,28,State,552,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,15.535569,78.012995,centroid,76.973826,14.900418,78.931042,16.148860,SOI_Districts,2023-12-11,true,
LGD,790,District,Markapuram,LGD,28,State,0,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,15.753511,79.962484,inherited:State,76.760569,12.624011,84.761464,19.166913,SOI_States,2023-12-11,false,
LGD,755,District,Nandyal,LGD,28,State,0,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,15.753511,79.962484,inherited:State,76.760569,12.624011,84.761464,19.166913,SOI_States,2023-12-11,false,
LGD,749,District,Ntr,LGD,28,State,0,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,15.753511,79.962484,inherited:State,76.760569,12.624011,84.761464,19.166913,SOI_States,2023-12-11,false,
LGD,751,District,Palnadu,LGD,28,State,0,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,15.753511,79.962484,inherited:State,76.760569,12.624011,84.761464,19.166913,SOI_States,2023-12-11,false,
LGD,743,District,Parvathipuram Manyam,LGD,28,State,0,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,15.753511,79.962484,inherited:State,76.760569,12.624011,84.761464,19.166913,SOI_States,2023-12-11,false,
LGD,791,District,Polavaram,LGD,28,State,0,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,15.753511,79.962484,inherited:State,76.760569,12.624011,84.761464,19.166913,SOI_States,2023-12-11,false,
LGD,517,District,Prakasam,LGD,28,State,549,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,15.616202,79.515203,centroid,78.736547,14.963721,80.475103,16.305816,SOI_Districts,2023-12-11,true,
LGD,519,District,Srikakulam,LGD,28,State,542,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,18.597701,84.022731,centroid,83.526603,18.077831,84.761464,19.166913,SOI_Districts,2023-12-11,true,
LGD,515,District,Sri Potti Sriramulu Nellore,LGD,28,State,550,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,14.418363,79.738935,centroid,79.081406,13.470647,80.268539,15.116685,SOI_Districts,2023-12-11,true,
LGD,754,District,Sri Sathya Sai,LGD,28,State,0,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,15.753511,79.962484,inherited:State,76.760569,12.624011,84.761464,19.166913,SOI_States,2023-12-11,false,
LGD,752,District,Tirupati,LGD,28,State,0,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,15.753511,79.962484,inherited:State,76.760569,12.624011,84.761464,19.166913,SOI_States,2023-12-11,false,
LGD,520,District,Visakhapatnam,LGD,28,State,544,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,17.893416,82.693925,centroid,81.859545,17.248562,83.525027,18.549798,SOI_Districts,2023-12-11,true,
LGD,521,District,Vizianagaram,LGD,28,State,543,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,18.472878,83.385198,centroid,82.999323,17.840398,83.813321,19.162666,SOI_Districts,2023-12-11,true,
LGD,523,District,West Godavari,LGD,28,State,546,03Sep2026,https://github.com/ramSeraph/opendata/releases/download/lgd-latest-extra1/districts.03Sep2026.csv.7z,16.931401,81.387360,centroid,80.867498,16.316485,81.858413,17.629117,SOI_Districts,2023-12-11,true,
